,评论内容
1239,出事的那一段没有！真的，如果不是有问题，怎么会偏偏那一段会消失！大家都不是瓜儿！背后的原因肯定多，媒体都不发声，有结果了，都开始发结果，敷衍的不是家属，是我们这些当父母的老百姓！可悲
1240,别说母亲不相信，我们都也不相信
1241,不偏不向，视频说话
1242,别让热度降下去！！！@头条新闻
1243,面对权势明星维权都无比艰难，我们普通老百姓连知道真相难如登天，这个病态的社会，怪不得都渴望权利，因为可以只手遮天，只需回你几个字“无可奉告”。@央视新闻 @头条新闻 @CCTV焦点访谈 @成都教育 @四川发布 @四川公安 @成都这点事
1244,到访好友
1245,突然感觉这个社会太恐怖了…哪里来的正义？这个孩子到底怎么死的？父母养这么大太不容易了…可怜的娃可惜了……希望公布真相！
1246,这让我想起了电视剧沉默的真相
1247,小老百姓只配生下来活下去吗？帮转！
1248,不给看监控，别说家长了，民众也不认同这个草率的结果！
1249,为什么他妈妈的微博看不到了又被封了吗
1250,不要让这个热度降下来！！！
1251,细思极恐 不给看监控一定有问题！请允许同班同学自由发声！！！
1252,“作业没带就是没写” “监控不给家长看就是心里有鬼”
1253,成都教育局和成都49中这种做法 是在公然抹黑政府的公信度 公然挑战人民为主的社会主义国家.
1254,刚才到132万的赞，瞬间刷新后变成了100万，还有三十多万去哪儿了？
1255,我翻开历史一查，这历史没有年代，歪歪斜斜的每页上都写着‘仁义道德’几个字。我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字“吃人”。
1256,今天你袖手旁观 明天不幸发生在自己身上时 别人同样助手旁观！站出来！
1257,既然警察已经介入了，为什么不是警察机关发布通告呢？
1258,这学校 的能量 大啊！！！！连 成都警方 都能 含糊其辞的 发通告！？？？  期待 更高级别政府介入调查！！！
1259,不准降热搜啊啊啊啊啊！！！！！
1260,这事情如果不彻查到底，那成都官场真是没救了。
1261,作为一个医务工作者，看到这事件我真的很气愤，去年那么多的医生护士为救助他人生命奋不顾身，你们现在怎能如此草芥人命，良知呢
1262,背后的保护伞很大呀，起码得是个叉叉叉，直接搞定所有政府部门了，不得不说，当官真好，一手遮天，全心全意为人民服务，
1263,认同了的是傻子！！他们真的把大家当傻瓜么？！
1264,事情没有圆满查清，就想问问，这学校以后还能顺利招生吗？家长还放学送孩子来这上学吗？
1265,求真相，监控摄像头为什么不能给家长看？
1266,成都教育局也成立專案調查組了？還比警方有效率！自己先通報調查結果？
1267,教育局可以代替公安局？公安局发声又是什么？！在一个地方所有的部门就是官官相护一丘之貉？！
1268,我也不认同
1269,这是欺负成都 警方 无能吗？？？
1270,没原因就跳楼赴死！家属有疑问！社会公众也在问，为什么？为什么？有人对他做了什么？
1271,那个微博都被注销了
1272,用户都没了?
1273,这个账号怎么不存在了呢，这个妈妈的微博不存在了，点不开了
1274,孩子妈妈的账号都被注销了，到底在心虚什么？
1275,热度降了，是真的没人关注了？
1276,成都49中那个妈妈的账号居然没了！！！！
1277,牛逼，孩子妈妈微博没了
1278,以我玩剧本杀这么多年的经验来看，学校就是凶手！顶我上去谢谢🙏
1279,号没了？？？
1280,这孩子母亲的微博账号显示不存在了???
1281,为什么不经过家属同意，就马上把尸体送去殡仪馆火化呢？这不是毁尸灭迹么@人民日报 @共青团中央 @光明日报 @北京青年报
1282,教育局局长怕连累自己下台
1283,求法律公平公正公开
1284,央视网公布了 大家去顶起来
1285,严查真相
1286,看着有一种无力感，事情越来越不懂了，只能努力的顶热度了，尽自己的一份力量吧
1287,热度怎么一直渐啊？？？怎么回事啊？
1288,保持热度 别让压下去了
1289,既然警方已经介入调查，这种涉及生命去亡的事件怎么会是教育局通报，难道不是吗应该是警方通报吗？
1290,在这个智商过剩的时代，唯有走心才是唯一技巧，联合合同调查组走心了吗？
1291,如果不是现在舆论的力量，给政府一定的施压，可想而知一个母亲有多么无助，决不能放过每一个坏人！人在做天在看，这里逃脱了，那里也会让他生不如死
1292,请给我们一个真相谢谢了
1293,啥子批学校我的天，侮辱我们智商呢
1294,关注
1295,我查我自己，我查我小弟，嗯，我信了
1296,对于这个公告我就 呵呵
1297,官官相护何时了
1298,就算真的是跳楼自杀，你们得让一个妈妈看到当时的监控视频啊
1299,这结论谁能信？
1300,太可怕。太可惜了花样的年纪。父母得多悲伤
1301,真相仍然扑朔迷离&gt;&gt;O成都男生校内坠亡：母亲节这天 她永远失去儿子
1302,成都警方回应&gt;&gt;O成都17岁高中生坠亡案疑点重重 警方再回应
1303,一开始不让家长进学校？不让看孩子遗体？事发地为什么是在行政楼而非教学楼教室？事发时的监控为什么又消失？是监控死角还是？太多不合理的地方没有向学生家长和公众交代清楚。
1304,疑点重重 ◆18: 40坠楼 20: 30救护车赶到 21点通知家长遗体已送往殡仪馆并阻止见面 ◆学校拒绝家长进入 拒绝家长看监控 ◆警察调看监控后 发现唯独没有坠楼那段视频 ◆根据受害者母亲描述 学校拒绝沟通 表示走司法程序 ★ 学校故意拖延家长了解案发现场以及阻止家人认领尸体 我认为这属于故意销毁证据
1305,在学校人没的，还需要一个小时确认学生身份？
1306,如果他的同学集体沉默到事件结束，那可真是“少年强则中国强”！
1307,公布监控有这么难吗？
1308,不是站队，不是刷屏，不是煽动什么。我们只是想要一个真相，我们只是想知道到底发生了什么，我们只是希望多一些公平正义。
1309,一个多小时确认身份？有点牵强吧，谁不认识谁呢，搁这胡说八道
1310,确实有很多疑点啊，最起码的监控都不让看
1311,确认你妈，跳楼脸摔变形了吗？哪个班少了谁，这不知道？还花两个小时确认
1312,在校学生，需要用了一个小时确认身份吗？
1313,小孩坠楼的地方是教师办公楼，那么孩子坠落是否与教师有关？监控只有事件发生那一段的没有？那么整个事件与校方有关？学校想掩盖事实？？学校又有什么权力把遗体送到殡仪馆呢没调查清楚就敢通报了，谁给成华教育局这么大的胆子？？学校不能自证清白，就要负全责！！
1314,学校确认身份用了1个多小时，真tm可笑，谁信？？？
1315,我们就想要一个真相就这么难吗？
1316,我们国家是这样的，如果你不摊上什么大事儿，你幸福指数真的挺高，但一切的前提是，你不要摊上什么大事儿。 大家平时都是光鲜亮丽，文明礼貌，看美剧听歌剧，谈投资聊基金……一旦出了事，微博发起来，横幅拉起来，膝盖跪下来……和进城讨薪，在包工头面前磕头自残的农民工其实没啥区别！@呼唤鹏鹏
1317,一个小时确认什么身份 ....
1318,看了很长通报，疑点真的太多了，孩子坠楼后应第一时间报警并封锁现场后通知家长，全力配合警方调查，但他们第一时间是把孩子尸体运送殡仪馆，关键时刻坠楼那段监控视频被删除，父母赶至学校却被禁止进入学校……种种迹象表明排除自杀的可能，毕竟真的想不通，他为何会坠楼
1319,教育部说的再清楚不过了，孩子就是自己吃撑了没事才跳楼玩的，本人行为，和学校无关
1320,反正，就是不肯拿完整监控说话是吧
1321,他想高考
1322,不是不是 据说小孩190  一个学校有几个190的？？？需要近2小时来确认身份？？？？
1323,跌跌撞撞中学会了坚强
1324,这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？这还是我认知中国吗？
1325,各位黑客高人们，帮帮他们吧
1326,唉，这么年轻的生命，真是太可惜了，一直在搜关于这个案件的有关信息，看着看着就哭了
1327,禽兽都干不出这种事，人类却可以
1328,如果我是知道实情的人，我会站出来，说出事实。不是我不想高考，是世上有千千万万条路，也许蜿蜒曲折，也许路途遥远并坎坷，但终归我还有路可以走。同生为人，而他没有了，连个真相也没有，我这一生都睡不安稳。
1329,经典回应之——“我不知道，嗯谢谢，我不知道，我不知道”我不知道
1330,求真相
1331,难道就没有一个目击者
1332,当一件事有大量的营销号 带数字ID的号 网上传教士的号 僵尸号 新号在到处转发 评论时对这件事选择继续让子弹飞一会。
1333,校方需要一个多小时才能确认学生的身份？这完全没有说服力啊！学生出事后的善后安排都让人无法接受，背后到底隐瞒了什么啊？
1334,事件持续发酵，微博热榜前10名有近一半相关话题，疑点重重，现在又牵扯出一名化学老师。成都四十九中、成都教育部门、成都公安部门的工作受到质疑。这种情况下，该有一名大人物出场说两句了。 ​​​
1335,不相信这么优秀的小伙子会轻生，学校一定隐藏了不可告人的＊＊
1336,唉，早日查出真相吧
1337,你做的正常死亡不可能做的事情。如果跟你们没关系真的自杀何必怕看监控。那么急不可耐送火花
1338,这么优秀的娃好不容易养到十七岁了 让父母怎么活的下去…
1339,这件事让社会的正义变得对许多人深不见底，为什么不能给一个真实的事实？
1340,发现人员—保护现场—确认信息。高空坠落尸体的样子很难看，确认是谁需要一定的时间。各位理性判断。
1341,学校哪来的权力，不让父母见孩子最后一面，就很无语
1342,开始理性思考这段感情存在的意义
1343,正常逻辑就没有这样处理事情的 出事了难道不是应该第一时间打电话给家长来 居然马上给孩子送殡仪馆 啥啥不让看 啥啥不说明白 这啥逻辑 没问题才怪哦 活生生的大儿子活奔乱跳去上学就这么没了 任何家庭都接受不了了的 我要一直蹲后续
1344,所以现在排除刑事案件，监控怎么还不拿出来
1345,不经家人同意就火化了...这都什么操作...
1346,校方是想把真相带进棺材里吗
1347,监控到底能不能修好
1348,在学校坠楼了，学校对学生用了一个小时确认身份？？学校仿佛在挑战智商。
1349,用了一个小时确认身份????
1350,希望成都49中公布学校监控视频，用事实说话，欲盖弥彰只能丧失更多的公信力，不要指望用拖延时间的方式让人们忘记这个事件！ 有太多的疑问，事情没那么简单，请成都49中公布真相！请成都市公安局和四川省公安厅介入调查！还孩子及其家人一个公道，这已经是一个公共事件了，每个人都有知道真相的权利！
1351,确认身份要一个多小时？学校不是就喜欢统计学生家长的姓名电话工作单位的么？
1352,回去啊，热度，明星什么的，还不如人命，不如一个悲痛欲绝的母亲，不如撕开社会黑暗面的裂缝重要吗！滚啊娱乐圈
1353,民心不服，众怒已犯，但大概率真相还是无法还原，悲哀！  转发评论即正义
1354,自己的学生，需要用一个多小时确认身份？
1355,不说别的 就说两个小时之后通告家长就很奇怪 不管什么事情 校方不应该第一时间告诉监护人吗
1356,确认身份用一个小时？要是这孩子逃课，十分钟就把人揪出来了吧。
1357,这种16，7，8的高中孩子基本上都是独生子女，家里辛辛苦苦养大的说没就没了，连最后一面都不给看送去byg，说没鬼谁信
1358,确认身份一个多小时就有点离谱。。
1359,毁 尸 灭 迹 。
1360,求真求实？!
1361,相关部门，一群吃干饭的饭桶，也不知道背后是一双什么样的力量之手，在扼杀真相！
1362,这可是一条生命 一家人的宝贝 全家的期望和未来 不值得一个真相？？
1363,事件持续发酵，微博热榜前10名有近一半相关话题，疑点重重，现在又牵扯出一名化学老师。成都四十九中、成都教育部门、成都公安部门的工作受到质疑。这种情况下，该有一名大人物出场说两句了。 ​​​
1364,一个多小时确认身份？？？？？？
1365,学校已经连火化都包办了
1366,不传谣不造谣，唯一能做的给他持续热度！只求一个真相！
1367,学校有什么权利不经过家属直接就送到殡仪馆？疑点重重
1368,也就只有头条新闻敢发声了
1369,这个幕后黑手能量挺大呀。
1370,现在有钱有权人一手遮天了？？？？国家没有用？法律没有用？？是不是可以推翻政策了！
1371,人血馒头啊，再怎么洗白都没用，如果真的向学校说的那么简单，为什么家长都见不到孩子的最后一面维权好难！凭什么直接送到殡仪馆！
1372,一个在校学生还要用一个多小时确认身份？可笑至极！
1373,头条终于报道了人间新闻
1374,鬼有什么可怕的 我带你去见见人心
1375,简直了还能删评?我看到好几个质问的点赞量高的评论没了
1376,看到知乎信息说是不是老师，是被学生推的
1377,监控
1378,希望警方能给出真相！
1379,为啥中国只要一发现这些类似事件，监控就坏了！！！真特么搞不懂！！！幼儿园 中学 大学 为啥都是！
1380,法律漏洞。在应该有监控的地方说监控消失，应该立法，这种没监控证明清白，就可以推定有罪。
1381,用一个多小时确认身份？
1382,我擦 和我一天生日
1383,一个学校有多少走后门的？多少勾搭上的？鲜活生命不放在眼里？法律不放在眼里？路走窄了吧！
1384,疑点太多
1385,为什么学校频频上热搜
1386,到底是动了谁的蛋糕？
1387,真的太他妈的气人了，最后一面都没让人家爸爸妈妈见到，搁谁谁受的了，唉！
1388,确认身份确实有可能费时间，因为这个孩子是在行政楼跳的，可能目击者也不认识他。不过关键是当时是谁发现的，现场到底是什么情况，监控太重要了。关键是，为什么要这么快送去殡仪馆，不应该在警察来之前都保护现场吗？
1389,头条新闻好样的 会持续关注此事 大家都顶上去 看监控 看监控 看监控
1390,为什么不是第一时间通知家长，而是拖延这么长时间最后让警察告知家长？6.40发生意外到9点这段时间究竟在隐瞒什么真相？还有为什么禁止家长入校第一时间观看事发视频？警方的通告真实性恐怕连他们自己也不信吧？
1391,中国顶楼
1392,多残忍啊
1393,此案先不说是否他杀，坠楼后第一时间应当保护现场（拨打120），通报警方和家属。警方现场勘察（尸检）完毕，家属对现场（勘察，尸检）无异议，尸体处理权由父母（监护人）决定（冷冻后续调查或者殡仪馆），再由警方继续侦查取证，校方必须全力配合，直至真相。而校方怎么做的？
1394,用一个小时开会封口用一个小时改造监控摄像头
1395,烂透了
1396,18点40坠楼，20点多才通知家长，而且还是让家长直接去警察局，为什么不让家长见孩子，还有18点40-20点左右这个期间学校在干什么?为什么送去殡仪馆?毁尸灭迹吗?还有怎么可能没监控，扯呢？一出事就说没有监控，监控没拍到，监控坏了，这么长时间，就发了一个狗屁通报糊弄谁呢
1397,“大雨中百鬼夜行 有人混在其中，比鬼还高兴”
1398,我相信中华人民共和国的法律，我相信中华人民共和国的调查机关会查明真相并公之于众。我相信正义。
1399,2小时干嘛去了销毁证据？统一口径？保全背后大佬们的利益！
1400,一个小时确认身份？？？？太离谱了吧，能不能编像一点
1401,校方什么立场什么资格，直接替家人决定送殡仪馆？？
1402,？就一个问号
1403,笑死，监控看了个寂寞
1404,以后谁还敢把自己的孩子送到学校去啊  腐败啊腐败
1405,看到爆料说是几个官二代富二代推下去的是什么梗？还有爆出家长名字，是不是可以查查？化学老师那个根本不可能，大家不要被混淆视听了！这条估计会被秒删
1406,不敢放出监控？难道是谋杀？？
1407,为什么封人家家属的号
1408,所以孩子已经火化了吗？爸爸妈妈都没见到他最后一面？这让人怎么受得了啊，学校这些人没有心吗？没有孩子吗？畜生啊
1409,一定要查清事实，还逝者母亲一个说法！心疼，孩子回不来了。如果没有如实交代，这个社会，还有什么公正可言，要法律来干嘛，和弱肉强食的动物界有什么区别？希望热度不减，大家一起护卫这个家庭，护卫保护我们的法律。
1410,没有家属签字能随便火化尸体吗？
1411,想知道“真相”怎么就这么难啊
1412,学生的命也是命 @美国驻华大使馆 @方方
1413,学生的命也是命
1414,学校是学校吗，这个社会是法制社会吗，能为所欲为吗，这世界公平吗
1415,呵呵哒用一个多小时确认身份。我看是掩盖犯罪证据吧！
1416,确认身份需要一个多小时 不相信 绝对不相信  一定要严查
1417,所以有学生坠亡出事，不是先组织救治而是要先确认身份，这个学校也真是绝了
1418,出事不及时打电话给家长，直接送殡仪馆，连孩子的最后一面都不给家长看，出事的那段监控没有，到底在隐瞒什么我们不得知晓
1419,确认什么身份要一个小时哦？把人家八代都挖出来，看看有没有势力隐患，发现是个小平民可以安心欺负了对吧？
1420,越看越气，感觉他们要一手遮天了，谁还敢把孩子送去这样的学校？出事了直接送去了殡仪馆，活生生的孩子进去，一盒骨灰出来，迫不及待拿去火化，想掩盖什么？这也不能怪别人猜疑，正常人都不会这么做事的。
1421,官媒此刻在干什么？
1422,孩子也还等着回家看妈妈，没想到自己非命在学校里，他的灵魂在哭泣呀，他在喊妈妈，我听到了
1423,是用一个多小时来确认身份？还是用一个多小时来毁灭证据？
1424,现在杀人都不犯法了吗？光天化日之下杀人竟然没人管？
1425,这是什么神操作？家长被通知去了警察局，还不被告知发生了什么......套路好深
1426,都拿我们当傻子呢？？
1427,有什么权利处理人家孩子的尸体？如此嚣张，国家就这么放任不管吗
1428,要一个多小时确认身份，没确认身份不能叫救护车吗
1429,必须查出真相！
1430,四川官媒就没说话 发声
1431,越是遮掩越有问题！
1432,不要逃避责任，给家属以事实真相，送谣者以法律惩罚。
1433,只能寄希于希望公开，死者的父母完全处于被动，虽然是死者的近亲。主动权完全不在手里。为什么只能是寄希于希望？
1434,麻烦关注一下#成都49中# 唉   其实这种新闻我真的不想关注的   但是看了来龙去脉  真的很气愤  真的很不想这么负能量   每次遇到这种新闻，恨不得自己就在受害者旁边   唉，真的好心疼那位母亲   刚过完母亲节  就遇到这样的事情
1435,唉   其实这种新闻我真的不想关注的   但是看了来龙去脉  真的很气愤  真的很不想这么负能量   每次遇到这种新闻，恨不得自己就在受害者旁边   唉，真的好心疼那位母亲   刚过完母亲节  就遇到这样的事情
1436,愿早日真相大白！你我皆是蝼蚁帮人就是帮己🙏
1437,发监控
1438,看到阴阳怪气的就烦，上面放个屁他闻着都是香的。“通报都出来你还要怎样”，我要你妈打胎打你，让你学历留在胎教。 ​​​
1439,直接把孩子拉去殡仪馆？这学校的管理者是魔鬼？
1440,这学校也是个流氓学校！赶紧让孩子转学！啥玩意儿！
1441,人命关天，强烈谴责学校不即时通知出事的学生家长，不排除妄图隐瞒事发真相的恶劣行径！这是明目张胆的恶意犯罪行为——建议立即出台司法解释入刑！追究相关涉事人员的刑事责任！——究竟是谁的主意和指令，在出事学生未经送医院抢救救治、医院未宣布死亡，就将学生送至殡仪馆的，这涉嫌故意杀人！
1442,校方说需要一个小时确认身份，自己学校的学生，就算人多，但凡通知到班主任，班主任再在自己班级确认一下，用的了1小时，班主任自己班里少一个人不知道？然后这1小时用在了哪里？是确认了再叫救护车还是确认了再叫家长？如果在救护前就确认为什么不通知家长一起去医院？
1443,学校没猫腻应该第一时间拨打120，同时报警，并且同时间通知家长，这很难吗？
1444,不让看遗体？？？
1445,殡仪馆也不让见孩子一面吗？只要不烧掉，开追悼会不也是是要见最后一面的，问题是非正常死亡，家属确认尸体这步，怎么完成的?
1446,就这一系列操作真的你说没问题就很难相信。
1447,就说监控吧，上次有个孩子跳楼有监控视频，你把监控放出来证明和学校无关大家还会怀疑你吗
1448,文案都有漏字，错别字 在下佩服佩服
1449,凭什么直接送殡仪馆？
1450,这种事情要立法，按突发事件立法。任何人不能人为干扰破坏监控录像设备，一但干扰破坏即违法入刑。再者，发生学生校内死亡事件，必须第一时间通知监护人，违反者入刑。学校无权阻扰监护人入场。这几点其实是常识。。。可就是那么难，所以要反思。
1451,自己的学生还要确认身份，就算需要确认身份，花了一个多小时的时间就怎么也说不过去吧！堂堂一所教书育人的学校效率这么低的吗？
1452,老子还就真不信这些官方说的屁话
1453,为什么不让家长看监控？为什么不第一时间通知？为什么不让家长看孩子最后一面？为什么不经过家长同意就急匆匆把孩子送往殡仪馆？
1454,把监控放出来再说
1455,好好一孩子没了 肯定接受不了 都高中了
1456,用一个多小时确认身份？然后拉去殡仪馆？然后不让看监控？然后没有见最后一面？然后觉得网友是。。吗？
1457,一个小时确认身份，你M糊弄谁呢
1458,一个小时确认身份………………
1459,你他妈自己学校的先生，需要两个小时确认身份！当全国人民白痴！这样的学校早该夸！这样的校长误人子弟，早该去是！
1460,放屁，为什么事发后不保护现场？！为什么家长还没见面就送殡仪馆？！为什么不敢公布监控？
1461,他们到底在害怕什么？为什么不第一时间通知家长？不通知也就算了，私自拉去火化？谁给你们的权利。
1462,还珍爱生命，这是泯灭人性
1463,却实存疑。
1464,这么健康正常聪明的孩子这样走了，让人家父母怎么过？
1465,确认身份需要一个多小时？
1466,一个小时确认身份，这个理由简直了
1467,呵呵，用了1个小时确认身份？
1468,成都49中是死了吗
1469,一个小时确认身份？那谁当傻子呢
1470,完全不认同！！！需要两小时确认身份？！
1471,孩子离世当天所有监控视频必须公开！！！
1472,确认身份需要一个多小时？
1473,把监控完完整整的展现出来呀，据说刚好事发时间段的监控就不见了
1474,经过调查监控，说明有监控！把监控放出来！
1475,究竟在隐瞒什么！#成都49中#
1476,学校确认学生身份要用一个多小时？
1477,我才二十几岁，我看到这个社会更多的是阴暗的一面不知道为什么
1478,我不敢看真相 害怕校园暴力
1479,全家人都没见到孩子最后一面是…已经被火化了么
1480,只想求个真相，为什么不做尸检直接送殡仪馆？这么严重的事关人命的事情为什么如此儿戏？究竟在隐瞒什么？
1481,新闻打字都打多了，你仔细读一下再发好不好？？
1482,看你们能找那个编剧来？？谁编故事谁缺德
1483,真的在隐瞒什么？
1484,全家人都没见到孩子最后一面，就tm匪夷所思，到底教育局要隐瞒什么
1485,在校学生需要一个小时确认身份？那么多老师一个学生都不认识？还是说学生家长的联系方式多难找到？
1486,公信力值得去维护
1487,我们就想知道真相！
1488,“有一分证据说一分话”，在逻辑上形成“闭环”，在事实供应上力求无懈可击，才能最大程度消弭质疑。—— 说的没错，大家想要看到的就是这个证据“闭环”，而不是寥寥几字的简单公告，事已至此，实难无法令人信服！同时，也希望大家质疑的同时保持克制，也别被乌七八糟的人趁机捣乱。
1489,不一定要公布监控，但家长一定要看。没有视频是盲区还是缺了一段，缺了一段就是销毁证据
1490,这才是媒体应有的担当和责任
1491,期待一个真相
1492,有一分证据说一分话
1493,只是希望把整件事从头到尾了解清楚，对这个最基本的要求，公安局有责任对家人和关切的公众告知。
1494,民心所向  等待真相
1495,求清晰明了的真相🙏
1496,毕竟疑点太多了，还是得一一排查
1497,这个说的在理👏👏👏
1498,别的我都不信，就信你
1499,无论如何，都该有个真像公布。
1500,真的很可惜，是同龄人来着的，他原本可以拥有光明的未来
1501,我看到新闻的时候发现是母亲节那天眼泪都快出来了
1502,保持理性，各位别被当枪使了
1503,我们所有人只是想要一个逻辑合理的真相，而不是毫无说服力公告
1504,你们说出了死者家属及大众心中的想法！
1505,“堵不如疏”
1506,有您的回应给了大众等待真相的信心和决心！
1507,终于等到官微关注了
1508,“有一分证据说一分话才可能消弭质疑”
1509,对的      全国人民都想看真相！
1510,不愧我关注这么久，感动，看到希望了！
1511,顶。请给一个交代。
1512,让子弹再飞一会，希望社会能多些温暖。
1513,正大光明
1514,喊着要公布监控的，是要把死者家属的痛苦回忆拿出来给全国人民欣赏一下吗？
1515,“有一分证据说一分话才可能消弭质疑”
1516,好样的，民心所向
1517,用证据说话 等待事实真相
1518,句句在理
1519,期待真相！！公信力需要维护！
1520,讲的太对了 给整件事情了解清楚 给家长一个交代
1521,理智理智，会有结果的
1522,期待真相
1523,有一分证据，说一分话，就想要一个真相。
1524,希望所有的疑惑都能得到解答！
1525,即使我确实不能做什么，但关注就是力量
1526,#有一分证据说一分话才可能消弭质疑#
1527,转发微博
1528,好样的 等补全更多事实
1529,希望真相早日浮出水面，正如央爸所说，给所有人一个交代
1530,没错 这是想知道有理有据的真相
1531,一分真正的证据讲一分的话
1532,转发微博
1533,“有一分证据说一分话”
1534,mark一个真像，mark证据，公众不论结果，需要看到的是证据是真像。
1535,终于来了
1536,谢谢！
1537,老百姓就是想要一个事实毕竟养大这么一个娃操碎心了。
1538,央爸爸来了
1539,太对了
1540,等最终调查的结果，希望还原真相
1541,“有一分证据说一分话”
1542,有一分证据说一分话 清白两个字很重
1543,这文章才像人话嘛。
1544,真相才能安抚人心
1545,理智等一个真相。
1546,拿事实说话，让证据清白
1547,转发微博
1548,666
1549,“又一分证据说一分话”！
1550,案件疑点梳理→O警方通报成都四十九中学生坠亡：家属无异议
1551,希望如果家长方便，能让家长登上微博亲口告知大家事情已经解决了，从昨天上午到现在家长微博都没有新的动静，很难让人不怀疑。如果想平息怀疑请让当事人来说明
1552,家属无异议 网友不服气（部分没有按它剧本走的带节奏网友）
1553,学校为何不给看监控？梳理案件细节→O成都中学生楼道坠落死亡 学校为何不给看监控？
1554,死者父亲是看了监控的
1555,侦查阶段证据不公开懂吗？
1556,成都四十九中学生坠楼谁之过？多方发声→O成都四十九中学生坠楼谁之过？多方发声汇总
1557,该事件爆出后，在短时间内转载数十万条引导着舆论持续发酵，还是同样的套路和熟悉的配方。营销号 带数字ID的号 网上传教士的号 僵尸号 新号到处转发 评论和控评，看来三亿美元拨款下来了家属无异议 网友不服气（部分没有按它剧本走的带节奏网友）
1558,看到你这种人最火大，不关你事一样的就等着所谓的真相出来了来打脸别人说我们都被舆论带着跑是吧，一副上帝视角你最牛逼的样子，没有舆论发酵且不说真想是不是真的，能这么快出来吗？
1559,发这个表情 会觉得显得你很幽默吗
1560,之前四川初二男孩跳楼以及忘了什么地方有个女孩被老师打吐血的两件事，一开始舆论有很多谣言。但是官方都有理有据地辟了谣，谣言也就不攻自破。可是这次的官方通报。。。
1561,这件事不管官方怎么辟谣都会被那些带节奏的人颠倒黑白。看看这件事的带风向流量就知道背后的黑手有多大了。警方通报还没有出来就已经有搞事情的人从外面进入成都49中外面集结了。
1562,调查结果一分钟就能出来，对吗？所以几分钟就得必须发详实的通告，对吧？
1563,简单的事儿，监控发出来嘛，你这种不被人利用谁被利用。
1564,那你去问一下死者父亲同不同意把死者视频公布出来啊！这是死者隐私不是你随随便便就能看的。
1565,家属已经看过了。孩子父亲不希望公布。别被 谣言误导了
1566,楼下一些试图把这件事情归咎于美国人带节奏的，真是邪恶到了极点。他们不关心死者，不关心真相，只考虑他们狭隘意识形态里那部分给威权跪着帮当权者当狗的思想，他们是真正的带路党，他们才是真正站在人民对立面的恶棍和敌人。
1567,他们现在抨击孩子的母亲说谎，这个可怜的女人现在可能都说不了话了，公布视频也被说成隐私，要求真相就是境外势力
1568,用他们的话说，这叫做：这些别有用心的人，在大是大非面前站在人民的对立面，和权贵一条心，污蔑要求正当权益的人民群众是敌对势力，这是什么行为，这就是存心给境外势力递刀子昂！
1569,我不信这不是3亿美元出资的狗粮有组织有预谋的行动，人手一个康乃馨这事情就看得出有预谋，中国人哪有送康乃馨祭奠死者的，要是烧纸我到还相信点。
1570,中国现在祭奠让烧纸了？传统节日清明都不让。您就歇歇把，不要拿一朵花来说事了。
1571,这事要咬文嚼字，坠是一回事，亡是一回事，亡是不是坠导致的需要细节铁证，不能简单坠亡两字就糊弄成既成事实，更何况更重要的坠亡之前发生了什么，因何而坠等等更关键的问题还有太多细节真相没有揭开，我们希望公安机关在这方面的言行和立场应该体现出最专业严谨中立公正。
1572,明显有人想掩盖些什么
1573,昨天早上哪位母亲不认同通报还发微博了，下午一直沉默到现在，感觉在利用网友……
1574,你翻她176w赞，12w转发的微博下面有一条5000多赞的评论，不知道她的微博是否还能登录。她失去了自己的儿子啊，说她利用网友这种话就不必说了吧……
1575,利用你干嘛了？
1576,你跟新京报是商量好了吗？还疑点重重？昨晚在现场举花的是不是更疑点重重？！
1577,就是一群脑残，被带了节奏。一个学校，里面能有什么样的大人物，要让一个省会城市的公安为他掩盖所谓的“真相”？
1578,警察的孩子不用上学吗
1579,有没有像我这种，平时不怎么在微博上发言的人，遇到这么义愤难平的事，发点言就说是用新号的什么，被带节奏了的什么。简直是无语。
1580,对啊！！
1581,回复@北乔馨:利用你啥了？人家吃你家饭了还是喝你家水了 就利用你。人儿子都没了 难不成无时无刻给你记录微博？
1582,不对吗，昨天的早上通报还出来不赞成，晚上的就一直沉默，就想知道家属到底是不是认同不认同，留下这么多网友干等着，
1583,回复@inconsola:他们学校和教育局应对舆情的方式确实有些不妥，但他们家长你就确定说的一定是实情么？本来这个事情没必要成立联合调查组的，为了给民众一个说法紧急成立并发布了目前掌握的情况。有报道说孩子父亲对整个事情更加了解，我持保留态度，我认为调查组不是神仙，他们也需要大量的时间来整理资料佐证这个事情
1584,这就是中国的媒体！人云亦云！没有一点客观调查的手段！
1585,每次看到类似新闻都会泪流满面。不养儿不知辛苦，那么大的孩子一路伴随着长大已经在生命里种下根发了牙，现在突然不明不白残忍的离去任谁也接受不了......祈求真相，讨要公道这是任何做母亲家长的合理要求，也是天下所有母亲家长的祈求和期盼
1586,至少得让孩子父母见到最后一面吧
1587,呼叫华春莹 耿爽 赵立坚
1588,这个外交部有啥关系？
1589,这哪有米国的风景壮阔啊
